speech-dispatcher,0
libhx509-5-heimdal,7407574
gzip,0
libgoffice-0.10-10-common,0
keyutils,0
libnetfilter-conntrack3,0
sendmail-cf,0
libcmis-0.5-5v5,0
unity-gtk3-module,0
libdbi-perl,0
lubuntu-default-session,0
fonts-tibetan-machine,0
xserver-xorg-video-vmware-hwe-16.04,0
fonts-sil-abyssinica,0
libmjpegutils-2.1-0,0
libxkbcommon-x11-0,0
libibus-1.0-5,0
libcap-dev,0
tracker-extract,0
gnumeric-common,0
lib32atomic1,0
unity-scope-zotero,0
python3-pexpect,0
xserver-xorg-video-intel-hwe-16.04,0
python3-bs4,0
libusbmuxd4,14728726
vim,0
fcitx-config-common,0
libfarstream-0.2-5,0
libglu1-mesa-dev,0
esound-common,0
webapp-container,0
vdpau-driver-all,0
libopencv-calib3d2.4v5,0
qtdeclarative5-accounts-plugin,0
xbitmaps,0
libgoa-backend-1.0-1,7367556
libdata-alias-perl,0
libdca0,0
linux-headers-4.15.0-47-lowlatency,0
libnux-4.0-0,0
libgom-1.0-0,0
telepathy-mission-control-5,0
libsynctex1,0
python3-urllib3,0
fonts-stix,0
fop,0
rhino,0
tracker,0
libkrb5-3,34363606
libdbusmenu-gtk3-4,22091604
linux-firmware,0
gir1.2-gdata-0.0,0
liblinear3,0
python3-brlapi,0
libmagic1,0
libksba8,0
libgmtk1,0
indicator-sound-gtk2,7364931
mplayer2,0
unity-scope-virtualbox,0
sni-qt,0
gcc-6-base,0
libaa1,0
libfile-which-perl,0
libcomerr2,34362779
libxcb-keysyms1,0
libcdio13,0
libxcb-glx0,0
dirmngr,0
example-content,0
libcogl-pango20,0
readline-common,0
xfonts-base,0
libenchant1c2a,12206056
libudev1,92587698
liblua5.3-0,0
libpython3.5,3282
pkg-config,0
im-config,0
libgs9,0
libbsd0,7489949
python3-pycurl,0
libapache-pom-java,0
libxcb1,141351466
libmodplug1,0
gnome-session-canberra,0
ppp,0
adium-theme-ubuntu,0
git,4527
python3-plainbox,0
uvcdynctrl-data,0
unity-scope-gdrive,0
libpciaccess0,7490834
libunity-control-center1,0
libxpm4,0
python-pycurl,0
ruby2.3,0
libqt5dbus5,7367338
gnome-user-guide,0
git-core,0
mtr-tiny,0
gvfs-backends,47429428
update-inetd,0
printer-driver-postscript-hp,0
libxcb-xf86dri0,0
libaudiofile1,0
libmm-glib0,7363685
libgtkspell0,0
libharfbuzz-icu0,7368080
libjsoncpp1,0
python3-chardet,4334
evolution-plugins,0
lubuntu-software-center,0
evolution-common,0
libxml-commons-resolver1.1-java,0
liblouis-data,0
libmspack0,0
libxxf86vm1,0
g++-multilib,0
lxsession-dbg,0
libopus0,0
lib32z1,0
libcanberra-gtk0,0
plymouth,0
libgtk2-perl,0
libxaw7,0
libgtk-3-bin,0
libalgorithm-diff-perl,0
libedata-cal-1.2-28,0
libcdio-paranoia1,0
console-setup-linux,0
ifupdown,0
oxideqt-codecs-extra,0
libsndio-dev,0
brasero,0
libgudev-1.0-0,51558236
libdns162,0
libwebp5,7365233
libpython3.5-stdlib,0
libnih-dbus1,29455766
libwinpr-synch0.1,0
libgconf-2-4,6121390
libsbc1,0
libmbim-proxy,0
emacs24-bin-common,0
librbd1,0
gir1.2-zeitgeist-2.0,0
freerdp-x11,0
dnsmasq-base,0
git-daemon-run,0
xserver-xorg-legacy-hwe-16.04,0
fonts-tlwg-laksaman-ttf,0
libproxy1-plugin-networkmanager,0
librsvg2-2,7366488
libqt4-sql,0
qml-module-qtquick-window2,0
pulseaudio-utils,0
libnm-gtk-common,0
libgcrypt20,334070024
diffutils,0
libavcodec-ffmpeg56,0
libcdt5,0
libparams-util-perl,0
libsecret-common,0
command-not-found-data,0
libcupsfilters1,0
base-passwd,0
libwinpr-input0.1,0
libgcc1,95507741
xserver-xorg-input-synaptics-hwe-16.04,0
libpango-perl,0
libevent-2.0-5,7365931
linux-modules-4.15.0-48-lowlatency,0
unity-webapps-qml,0
libvorbisidec1,0
libslang2,0
update-manager-core,0
gir1.2-gdkpixbuf-2.0,0
libx264-148,0
libvorbisenc2,14730569
mountall,0
libsystemd0,249587633
libqpdf21,0
espeak-data,0
libgtksourceview-3.0-1,0
emdebian-archive-keyring,0
emacs24-el,0
libgupnp-1.0-4,0
libopencv-objdetect2.4v5,0
avahi-daemon,0
gtk2-engines-pixbuf,0
libpresage-data,0
python-setuptools,0
libunistring0,0
libsuitesparseconfig4.4.6,0
libpango-1.0-0,105286947
libxau-dev,0
g++-5-multilib,0
libxcomposite1,97924978
libopencv-legacy2.4v5,0
libgtkspell3-3-0,4842490
libfribidi0,0
printer-driver-ptouch,0
libboost-system1.58.0,41658370
fcitx-ui-classic,0
libllvm6.0,0
libloudmouth1-0,0
python-pip,0
gdbserver,0
friendly-recovery,0
libconfig-file-perl,0
bogofilter-common,0
gnome-control-center,0
python-pil,0
libxml-sax-perl,0
libglib2.0-bin,0
hardening-includes,0
libcanberra-pulse,0
x11-apps,2614
libk5crypto3,34362884
update-manager,0
libmirclient-dev,0
libxcb-icccm4,0
python-pkg-resources,0
libxcb-shm0,105290102
iperf,0
libxen-4.6,0
libqt4-dbus,0
libnotify4,36819119
signon-plugin-oauth2,0
ttf-ubuntu-font-family,0
libieee1284-3,0
dns-root-data,0
acpica-tools,0
yelp-xsl,0
python3-reportlab-accel,0
libhtml-format-perl,0
libpam-runtime,0
rhythmbox-plugin-zeitgeist,0
upower,7367605
libreoffice-calc,0
g++-5,0
libgeocode-glib0,0
lynx-cur,0
gawk,0
sgml-data,0
libgles2-mesa-dev,0
libbrlapi0.6,0
fonts-texgyre,0
librados2,0
libfontembed1,0
pinentry-curses,0
baobab,0
openjdk-8-jdk-headless,0
libqqwing2v5,0
libp11-kit0,88382498
python3.5-minimal,0
libpanel-applet0,0
libhtml-tagset-perl,0
libiscsi2,0
libaudtag2,0
libxfconf-0-2,7365171
pixz,0
nmap,0
libebackend-1.2-10,0
python-debian,0
libspeexdsp1,7365583
texlive-binaries,0
a11y-profile-manager-indicator,0
libunity-settings-daemon1,0
libmicrohttpd-dev,0
libcgi-pm-perl,0
libudev-dev,0
indicator-bluetooth,0
librbd-dev,0
libldap-2.4-2,14811916
libsmbclient,0
libgl1-mesa-glx,0
libfdt1,4567
netcat-openbsd,0
samba-common-bin,0
libspice-protocol-dev,0
transmission-gtk,0
gir1.2-gstreamer-1.0,0
libjpeg9,0
libjpeg8,0
